"Seleccion"	"Ago18"	"Sep18"	"Oct18"	"Nov18"	"Dic18"	"Feb19"	"Abr19"	"Jun19"	"Jul19"	"Sep19"	"Oct19"	"Nov19"	"Dic19"	"Feb20"	"Abr20"	"Jun20"	"Jul20"	"Sep20"	"Oct20"	"Nov20"	"Dic20"	"Feb21"	"Abr21"	"May21"	"Ago21"	"Sep21"	"Oct21"	"Nov21"	"Dic21"	"Feb22"	"Mar22"
"Mexico"	16	16	16	17	17	17	18	18	12	12	11	11	11	11	11	11	11	11	11	9	9	9	11	11	9	9	9	14	14	12	9
"Netherlands"	17	17	15	15	14	15	16	15	17	13	12	14	14	14	14	14	14	13	15	14	14	14	16	16	12	11	11	10	10	10	10
"Poland"	18	18	21	20	20	20	20	19	20	22	21	19	19	19	19	19	19	19	18	19	19	19	21	21	27	24	23	27	27	28	26
"Wales"	19	19	18	19	19	19	19	23	24	23	24	23	23	23	23	23	23	21	20	18	18	18	17	17	19	19	19	19	19	20	18
"Peru"	20	21	20	21	20	21	21	21	19	19	19	21	21	21	21	21	21	22	24	25	25	25	27	27	22	21	24	22	22	22	22
"Italy"	21	20	19	18	18	18	17	14	16	15	15	13	13	13	13	13	13	12	12	10	10	10	7	7	5	5	4	6	6	6	6
"USA"	22	22	23	25	25	25	24	30	22	21	23	22	22	22	22	22	22	23	22	22	22	22	20	20	10	13	13	12	11	13	15
"Austria"	23	24	24	22	22	23	34	26	27	27	25	26	26	26	26	26	26	27	25	23	23	23	23	23	23	29	32	30	31	30	34
"Tunisia"	24	23	22	26	26	28	28	25	29	29	29	27	27	27	27	27	27	26	26	26	26	26	26	26	28	25	27	29	30	36	35
"Senegal"	25	25	25	23	23	24	23	22	21	20	20	20	20	20	20	20	20	20	21	20	20	20	22	22	21	20	20	20	20	18	20
"Slovakia"	26	26	28	27	27	29	32	31	31	29	31	32	32	32	32	32	32	36	37	33	33	34	36	36	38	38	40	42	42	46	45
"Northern Ireland"	27	28	34	35	35	36	33	28	30	33	34	36	36	36	36	36	36	38	41	45	45	45	48	48	51	47	58	54	54	54	54
"Romania"	28	27	26	24	24	26	25	27	28	31	30	37	37	37	37	37	37	34	44	37	37	37	43	43	45	42	41	44	44	47	48
"Republic of Ireland"	29	30	33	33	33	34	31	32	32	28	36	34	34	34	34	34	34	37	36	42	43	42	47	47	47	50	51	47	47	49	47
"Paraguay"	30	31	31	32	32	33	36	36	39	40	41	40	41	41	41	41	41	40	35	34	34	35	35	35	33	35	38	43	43	50	50
"Venezuela"	31	32	29	31	31	32	30	33	26	26	26	25	25	25	25	25	25	25	28	28	28	28	30	30	40	49	50	59	59	58	58
"Costa Rica"	32	37	37	36	36	37	38	39	44	43	47	46	46	46	46	46	46	46	50	51	51	50	50	50	44	44	45	49	49	42	31
"IR Iran"	33	33	30	29	29	22	22	20	23	23	27	33	33	33	33	33	33	30	29	29	29	29	31	31	26	22	22	21	21	21	21
"Iceland"	34	36	36	37	37	39	40	35	36	41	40	39	39	39	39	39	39	42	40	46	46	46	52	52	53	60	62	62	62	60	63
"Ukraine"	35	29	27	28	28	30	27	24	25	25	22	24	24	24	24	24	24	24	23	24	24	24	24	24	25	27	26	25	25	27	27
"Serbia"	36	35	35	30	29	31	29	34	35	35	33	30	30	30	30	30	30	31	30	30	30	30	25	25	29	28	25	23	23	25	25
"Congo DR"	37	40	46	49	49	51	46	49	56	55	54	57	57	57	57	57	57	58	59	60	60	60	61	61	65	67	67	64	64	66	67
"Turkey"	38	38	38	39	39	41	39	38	38	36	32	29	29	29	29	29	29	32	33	32	32	32	29	29	39	41	39	37	37	39	43
"Bosnia and Herzegovina"	39	34	32	34	34	35	35	40	42	46	48	49	49	49	49	49	49	50	51	55	55	56	56	56	58	57	56	61	61	59	59
"Scotland"	40	39	40	38	38	40	44	45	48	52	53	50	50	50	50	50	50	49	45	48	48	48	44	44	49	45	42	38	38	40	39
"Montenegro"	41	41	39	45	44	47	53	53	55	59	62	64	64	64	65	64	64	63	64	63	63	63	64	64	67	71	73	72	72	72	70
"Greece"	42	42	43	43	43	45	43	52	54	60	58	54	54	54	54	54	54	53	54	53	53	53	51	51	48	46	47	55	55	55	55
"Australia"	43	43	42	41	41	42	41	43	46	44	44	42	42	42	42	42	42	41	42	41	41	41	41	41	35	32	34	35	35	37	42
"Czech Republic"	44	47	48	42	42	44	48	41	43	44	43	45	45	45	45	45	45	45	46	43	42	43	40	40	31	31	31	31	32	31	33
"Ghana"	45	51	52	52	51	53	49	50	51	51	51	47	47	47	47	47	47	47	48	52	52	52	49	49	52	53	52	52	52	61	60
"Morocco"	46	45	47	40	40	43	45	47	41	39	42	43	43	43	43	43	43	43	39	36	35	33	34	34	32	33	29	28	28	24	24
"Cameroon"	47	50	51	55	55	56	54	51	53	53	52	53	53	53	53	53	53	54	53	50	50	51	55	55	54	58	54	50	50	38	37
"Bulgaria"	48	44	45	46	46	48	51	57	60	62	61	59	59	59	60	59	60	61	66	68	68	68	71	71	75	70	70	71	71	71	73
"Russia"	49	46	41	48	48	50	47	44	47	42	37	38	38	38	38	38	38	33	34	39	39	39	38	38	41	37	33	34	34	35	36
"Nigeria"	50	48	44	44	44	46	42	46	33	34	35	31	31	31	31	31	31	29	32	35	36	36	32	32	34	34	36	36	36	32	30
"Hungary"	51	49	55	51	51	52	52	42	45	50	50	52	52	52	52	52	52	52	47	40	40	40	37	37	37	40	43	39	39	41	40
"Burkina Faso"	52	56	57	61	61	62	58	59	61	61	60	60	60	60	59	60	59	59	58	58	58	59	60	60	62	62	61	60	60	56	56
"Norway"	53	52	49	47	46	49	50	48	50	47	45	44	44	44	44	44	44	44	43	44	44	44	42	42	43	39	37	41	41	45	41
"Jamaica"	54	53	54	54	54	54	56	54	52	47	46	48	48	48	48	48	48	48	49	47	47	47	45	45	50	59	59	57	57	62	64
"Slovenia"	55	61	63	62	62	63	63	65	63	58	65	65	65	65	64	65	65	64	62	62	62	62	63	63	66	64	64	65	65	64	65
"Japan"	56	54	50	50	50	27	26	29	34	31	28	28	28	28	28	28	28	28	27	27	27	27	28	28	24	26	28	26	26	23	23
"Korea Republic"	57	55	53	53	53	38	37	37	37	37	39	41	40	40	40	40	40	39	38	38	38	38	39	39	36	36	35	33	33	29	29
"Albania"	58	57	60	60	60	61	62	66	64	64	66	66	66	66	66	66	66	68	69	66	66	66	66	66	69	66	63	66	66	65	66
"Bolivia"	59	60	59	59	59	60	64	62	73	72	75	76	75	75	75	75	75	75	80	80	80	79	81	81	82	83	78	77	77	76	78
"Ecuador"	60	58	61	57	57	58	59	60	66	65	64	63	63	63	63	63	63	65	60	56	56	57	53	53	55	52	55	46	46	44	46
"Honduras"	61	62	62	63	62	64	61	61	67	67	63	62	62	62	62	62	62	62	63	64	64	64	67	67	63	63	68	76	76	78	82
"Finland"	62	59	56	58	58	59	60	56	58	54	55	58	58	58	58	58	58	56	55	54	54	55	54	54	56	55	60	58	58	57	57
"Mali"	63	63	66	64	64	65	65	63	59	57	59	56	56	56	56	56	56	57	56	57	57	54	57	57	60	61	57	53	53	48	52
"Cape Verde Islands"	64	67	68	72	72	75	76	76	76	78	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Egypt"	65	64	58	56	56	57	57	58	49	49	49	51	51	51	51	51	51	51	52	49	49	49	46	46	46	48	44	45	45	34	32
"Algeria"	66	69	67	67	67	69	70	68	40	38	38	35	35	35	35	35	35	35	31	31	31	31	33	33	30	30	30	32	29	43	44
"Côte d'Ivoire"	67	66	64	65	65	66	66	64	57	56	56	61	61	61	61	61	61	60	61	61	61	61	59	59	57	54	53	56	56	51	53
"Guinea"	68	65	65	66	66	68	69	71	75	74	78	74	74	74	74	74	74	74	71	73	73	72	72	72	76	76	79	81	81	81	80
"Panama"	69	70	71	71	71	76	74	75	74	77	80	81	81	81	81	81	81	81	77	78	78	78	78	78	74	68	69	63	63	63	61
"Saudi Arabia"	70	71	72	69	69	70	72	70	68	70	70	67	67	67	67	67	67	66	67	67	67	67	65	65	61	56	49	48	51	53	49
"FYR Macedonia"	71	68	69	68	68	71	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"El Salvador"	72	72	70	70	70	73	71	69	69	72	73	69	69	69	69	69	69	69	68	70	70	70	69	69	64	65	65	69	70	70	74
"Syria"	73	74	74	74	74	83	83	85	87	85	83	79	79	79	79	79	79	79	79	76	77	76	79	79	80	81	85	85	86	91	88
"South Africa"	74	73	73	73	72	74	73	72	70	71	72	72	71	72	72	72	72	72	73	71	71	71	75	75	73	73	66	68	68	68	69
"China PR"	75	76	75	76	76	72	75	73	71	68	71	75	76	76	76	76	76	76	75	75	75	75	77	77	71	75	75	74	74	75	77
"Zambia"	76	75	77	82	83	82	80	81	81	81	81	88	88	88	88	88	88	88	89	90	90	91	87	87	87	85	87	88	88	88	87
"United Arab Emirates"	77	78	81	79	79	67	67	67	65	66	67	71	72	71	71	71	71	71	74	74	74	74	74	73	68	69	71	70	69	69	68
"Belarus"	78	80	78	77	76	78	81	83	85	82	86	87	87	87	87	87	87	87	90	88	88	88	89	89	89	90	95	95	94	94	93
"Canada"	79	79	76	78	78	79	78	78	78	75	69	73	73	73	73	73	73	73	72	72	72	73	70	70	59	51	48	40	40	33	38
"Lebanon"	80	77	82	81	81	85	87	87	89	94	91	90	90	90	90	90	90	91	91	92	92	92	93	93	98	97	92	94	95	95	97
"Curacao"	81	81	79	80	80	81	82	79	79	76	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Uganda"	82	83	80	75	75	77	79	80	80	80	79	77	77	77	77	77	77	77	76	79	79	83	84	84	84	86	82	82	82	84	86
"Congo"	83	84	87	84	84	84	92	90	91	90	92	89	89	89	89	89	89	90	93	91	91	90	94	94	93	92	97	97	97	97	98
"Oman"	84	85	85	83	82	90	88	86	88	84	84	82	82	82	82	82	82	82	82	82	82	81	80	80	79	78	77	78	79	79	75
"Luxembourg"	85	82	84	86	86	87	86	91	92	93	96	98	98	98	98	98	98	97	95	98	98	98	96	96	96	94	94	93	93	93	94
"Gabon"	86	87	83	85	85	86	90	89	90	88	87	83	83	83	83	83	83	83	85	86	86	86	88	88	85	88	88	89	89	82	81
"Cyprus"	87	86	86	87	86	88	89	93	93	92	93	95	95	95	95	95	95	98	99	100	100	100	97	97	99	NA	NA	NA	NA	NA	NA
"Benin"	88	88	88	94	94	94	91	88	82	83	82	84	84	84	84	84	84	84	83	83	83	82	82	82	86	82	83	83	83	83	84
"Iraq"	89	89	89	88	88	80	77	77	77	79	74	70	70	70	70	70	70	70	70	69	69	69	68	68	70	72	72	75	75	74	72
"Faroe Islands"	90	92	95	98	98	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trinidad and Tobago"	91	90	93	92	92	93	93	92	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	100	NA	NA
"Kyrgyz Republic"	92	91	90	91	91	95	95	95	95	97	94	96	96	96	96	96	96	95	96	96	96	96	98	99	NA	98	96	96	96	96	95
"Israel"	93	95	91	90	90	92	84	82	84	86	89	93	93	93	93	93	93	93	88	87	87	87	85	85	81	80	80	79	78	77	76
"Estonia"	94	98	98	96	96	96	96	99	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Uzbekistan"	95	96	94	95	95	89	85	84	86	88	85	85	85	85	85	85	85	85	84	85	85	85	86	86	83	84	84	84	84	85	83
"Georgia"	96	93	92	89	89	91	94	94	94	91	90	92	92	91	92	92	92	89	86	89	89	89	91	91	91	96	93	86	85	86	85
"India"	97	97	97	97	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Qatar"	98	94	96	93	93	55	55	55	62	62	57	55	55	55	55	55	55	55	57	59	59	58	58	58	42	43	46	51	48	52	51
"Palestine"	99	100	99	99	99	100	99	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	100	98	99	100	100
"Armenia"	100	NA	NA	NA	NA	NA	NA	97	98	96	99	NA	NA	NA	NA	NA	NA	NA	NA	99	99	99	90	90	88	89	89	92	92	92	92
"Libya"	NA	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Madagascar"	NA	NA	100	NA	NA	NA	NA	NA	96	95	95	91	91	92	91	91	91	92	92	94	94	94	100	100	97	100	99	NA	NA	NA	NA
"Vietnam"	NA	NA	NA	100	100	99	98	96	97	99	97	94	94	94	94	94	94	94	94	93	93	93	92	92	92	95	98	99	98	98	96
"Jordan"	NA	NA	NA	NA	NA	98	97	98	99	98	98	97	97	97	97	97	97	96	97	95	95	95	95	95	95	93	90	91	90	90	91
"Haiti"	NA	NA	NA	NA	NA	NA	100	NA	83	86	88	86	86	86	86	86	86	86	87	84	84	84	83	83	90	87	86	87	87	87	90
"North Macedonia"	NA	NA	NA	NA	NA	NA	NA	74	72	69	68	68	68	68	68	68	68	67	65	65	65	65	62	62	72	74	74	67	67	67	62
"Cabo Verde"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	78	78	78	78	78	78	78	81	81	80	73	74	77	77	76	73	73	73	71
"Curaçao"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	80	80	80	80	80	80	81	77	76	77	76	76	78	79	81	80	80	80	79
"Mauritania"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	100	100	100	100	100	100	98	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
"Bahrain"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	99	99	99	99	99	99	100	97	97	97	99	98	94	91	91	90	91	89	89
"Equatorial Guinea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	99
