"EQUIPOS"	"variable"	"value"
"Emelec"	"J6"	"13"
"Nacional"	"J6"	"9"
"Gualaceo SC"	"J6"	"12"
"Cumbayá FC"	"J6"	"6"
"Delfín SC"	"J6"	"7"
"Guayaquil City"	"J6"	"16"
"Orense SC"	"J6"	"4"
"Barcelona SC"	"J6"	"2"
"Mushuc Runa"	"J6"	"14"
"Aucas"	"J6"	"3"
"LDU Quito"	"J6"	"5"
"Libertad de Loja"	"J6"	"15"
"Universidad Católica"	"J6"	"11"
"Técnico Universitario"	"J7"	"10"
"Independiente del Valle"	"J7"	"1"
"Deportivo Cuenca"	"J7"	"8"
"Emelec"	"J7"	"13"
"Nacional"	"J7"	"9"
"Gualaceo SC"	"J7"	"12"
"Cumbayá FC"	"J7"	"6"
"Delfín SC"	"J7"	"7"
"Guayaquil City"	"J7"	"16"
"Orense SC"	"J7"	"4"
"Barcelona SC"	"J7"	"2"
"Mushuc Runa"	"J7"	"14"
"Aucas"	"J7"	"3"
"LDU Quito"	"J7"	"5"
"Libertad de Loja"	"J7"	"15"
"Universidad Católica"	"J7"	"11"
"Técnico Universitario"	"J8"	"10"
"Independiente del Valle"	"J8"	"1"
"Deportivo Cuenca"	"J8"	"8"
"Emelec"	"J8"	"13"
"Nacional"	"J8"	"9"
"Gualaceo SC"	"J8"	"12"
"Cumbayá FC"	"J8"	"6"
"Delfín SC"	"J8"	"7"
"Guayaquil City"	"J8"	"16"
"Orense SC"	"J8"	"4"
"Barcelona SC"	"J8"	"2"
"Mushuc Runa"	"J8"	"14"
"Aucas"	"J8"	"3"
"LDU Quito"	"J8"	"5"
"Libertad de Loja"	"J8"	"15"
"Universidad Católica"	"J8"	"11"
"Técnico Universitario"	"J9"	"10"
"Independiente del Valle"	"J9"	"1"
"Deportivo Cuenca"	"J9"	"8"
"Emelec"	"J9"	"13"
"Nacional"	"J9"	"9"
"Gualaceo SC"	"J9"	"12"
"Cumbayá FC"	"J9"	"6"
"Delfín SC"	"J9"	"7"
"Guayaquil City"	"J9"	"16"
"Orense SC"	"J9"	"4"
"Barcelona SC"	"J9"	"2"
"Mushuc Runa"	"J9"	"14"
"Aucas"	"J9"	"3"
"LDU Quito"	"J9"	"5"
"Libertad de Loja"	"J9"	"15"
"Universidad Católica"	"J9"	"11"
"Técnico Universitario"	"J10"	"10"
"Independiente del Valle"	"J10"	"1"
"Deportivo Cuenca"	"J10"	"8"
"Emelec"	"J10"	"13"
"Nacional"	"J10"	"9"
"Gualaceo SC"	"J10"	"12"
"Cumbayá FC"	"J10"	"6"
"Delfín SC"	"J10"	"7"
"Guayaquil City"	"J10"	"16"
"Orense SC"	"J10"	"4"
"Barcelona SC"	"J10"	"2"
"Mushuc Runa"	"J10"	"14"
"Aucas"	"J10"	"3"
"LDU Quito"	"J10"	"5"
"Libertad de Loja"	"J10"	"15"
"Universidad Católica"	"J10"	"11"
"Técnico Universitario"	"J11"	"10"
"Independiente del Valle"	"J11"	"1"
"Deportivo Cuenca"	"J11"	"8"
"Emelec"	"J11"	"13"
"Nacional"	"J11"	"9"
"Gualaceo SC"	"J11"	"12"
"Cumbayá FC"	"J11"	"6"
"Delfín SC"	"J11"	"7"
"Guayaquil City"	"J11"	"16"
"Orense SC"	"J11"	"4"
"Barcelona SC"	"J11"	"2"
"Mushuc Runa"	"J11"	"14"
"Aucas"	"J11"	"3"
"LDU Quito"	"J11"	"5"
"Libertad de Loja"	"J11"	"15"
"Universidad Católica"	"J11"	"11"
"Técnico Universitario"	"J12"	"10"
"Independiente del Valle"	"J12"	"1"
"Deportivo Cuenca"	"J12"	"8"
"Emelec"	"J12"	"13"
"Nacional"	"J12"	"9"
"Gualaceo SC"	"J12"	"12"
"Cumbayá FC"	"J12"	"6"
"Delfín SC"	"J12"	"7"
"Guayaquil City"	"J12"	"16"
"Orense SC"	"J12"	"4"
"Barcelona SC"	"J12"	"2"
"Mushuc Runa"	"J12"	"14"
"Aucas"	"J12"	"3"
"LDU Quito"	"J12"	"5"
"Libertad de Loja"	"J12"	"15"
"Universidad Católica"	"J12"	"11"
"Técnico Universitario"	"J13"	"10"
"Independiente del Valle"	"J13"	"1"
"Deportivo Cuenca"	"J13"	"8"
"Emelec"	"J13"	"13"
"Nacional"	"J13"	"9"
"Gualaceo SC"	"J13"	"12"
"Cumbayá FC"	"J13"	"6"
"Delfín SC"	"J13"	"7"
"Guayaquil City"	"J13"	"16"
"Orense SC"	"J13"	"4"
"Barcelona SC"	"J13"	"2"
"Mushuc Runa"	"J13"	"14"
"Aucas"	"J13"	"3"
"LDU Quito"	"J13"	"5"
"Libertad de Loja"	"J13"	"15"
"Universidad Católica"	"J13"	"11"
"Técnico Universitario"	"J14"	"10"
"Independiente del Valle"	"J14"	"1"
"Deportivo Cuenca"	"J14"	"8"
"Emelec"	"J14"	"13"
"Nacional"	"J14"	"9"
"Gualaceo SC"	"J14"	"12"
"Cumbayá FC"	"J14"	"6"
"Delfín SC"	"J14"	"7"
"Guayaquil City"	"J14"	"16"
"Orense SC"	"J14"	"4"
"Barcelona SC"	"J14"	"2"
"Mushuc Runa"	"J14"	"14"
"Aucas"	"J14"	"3"
"LDU Quito"	"J14"	"5"
"Libertad de Loja"	"J14"	"15"
"Universidad Católica"	"J14"	"11"
"Técnico Universitario"	"J15"	"10"
"Independiente del Valle"	"J15"	"1"
"Deportivo Cuenca"	"J15"	"8"
"Emelec"	"J15"	"13"
"Nacional"	"J15"	"9"
"Gualaceo SC"	"J15"	"12"
"Cumbayá FC"	"J15"	"6"
"Delfín SC"	"J15"	"7"
"Guayaquil City"	"J15"	"16"
"Orense SC"	"J15"	"4"
"Barcelona SC"	"J15"	"2"
"Mushuc Runa"	"J15"	"14"
"Aucas"	"J15"	"3"
"LDU Quito"	"J15"	"5"
"Libertad de Loja"	"J15"	"15"
"Universidad Católica"	"J15"	"11"
