RK1,Fecha1,Nombre,RK2,Fecha2,Nombre,RK3,Fecha3,Nombre,RK4,Fecha4,Nombre,RK5,Fecha5,Nombre
27,10022022,Ukraine,27,23122047,Poland,27,10122020,Japan,27,19122019,Tunisia,27,20122018,Slovakia
28,10022022,Poland,28,23122048,Morocco,28,10122020,Venezuela,28,19122019,Japan,28,20122018,Ukraine
29,10022022,Korea Republic,29,23122049,Algeria,29,10122020,IR Iran,29,19122019,Turkey,29,20122018,Serbia
30,10022022,Austria,30,23122050,Tunisia,30,10122020,Serbia,29,19122019,Serbia,29,20122018,IR Iran
31,10022022,Czech Republic,31,23122051,Austria,31,10122020,Algeria,31,19122019,Nigeria,31,20122018,Venezuela
32,10022022,Nigeria,32,23122052,Czech Republic,32,10122020,Turkey,32,19122019,Slovakia,32,20122018,Paraguay
33,10022022,Canada,33,23122053,Korea Republic,33,10122020,Slovakia,33,19122019,IR Iran,33,20122018,Republic of Ireland
34,10022022,Egypt,34,23122054,Russia,34,10122020,Paraguay,34,19122019,Republic of Ireland,34,20122018,Bosnia and Herzegovina
35,10022022,Russia,35,23122055,Australia,35,10122020,Morocco,35,19122019,Algeria,35,20122018,Northern Ireland
36,10022022,Tunisia,36,23122056,Nigeria,35,10122020,Nigeria,36,19122019,Northern Ireland,36,20122018,Costa Rica
37,10022022,Australia,37,23122057,Turkey,37,10122020,Romania,37,19122019,Romania,37,20122018,Iceland
38,10022022,Cameroon,38,23122058,Scotland,38,10122020,Korea Republic,38,19122019,Russia,38,20122018,Scotland
39,10022022,Turkey,39,23122059,Hungary,39,10122020,Russia,39,19122019,Iceland,39,20122018,Turkey
40,10022022,Scotland,40,23122060,Canada,40,10122020,Hungary,40,19122019,Korea Republic,40,20122018,Morocco
41,10022022,Hungary,41,23122061,Norway,41,10122020,Australia,40,19122019,Paraguay,41,20122018,Australia
42,10022022,Costa Rica,42,23122062,Slovakia,42,10122020,Czech Republic,42,19122019,Australia,42,20122018,Czech Republic
43,10022022,Algeria,43,23122063,Paraguay,42,10122020,Republic of Ireland,43,19122019,Morocco,43,20122018,Greece
44,10022022,Ecuador,44,23122064,Romania,44,10122020,Norway,44,19122019,Norway,44,20122018,Nigeria
45,10022022,Norway,45,23122065,Egypt,45,10122020,Northern Ireland,45,19122019,Czech Republic,44,20122018,Montenegro
46,10022022,Slovakia,46,23122066,Ecuador,46,10122020,Iceland,46,19122019,Costa Rica,46,20122018,Bulgaria
47,10022022,Romania,47,23122067,Republic of Ireland,47,10122020,Jamaica,47,19122019,Ghana,46,20122018,Norway
48,10022022,Mali,48,23122068,Qatar,48,10122020,Scotland,48,19122019,Jamaica,48,20122018,Russia
49,10022022,Republic of Ireland,49,23122069,Costa Rica,49,10122020,Egypt,49,19122019,Bosnia and Herzegovina,49,20122018,Congo DR
50,10022022,Paraguay,50,23122070,Cameroon,50,10122020,Cameroon,50,19122019,Scotland,50,20122018,Japan
51,10022022,Côte d'Ivoire,51,23122071,Saudi Arabia,51,10122020,Costa Rica,51,19122019,Egypt,51,20122018,Hungary
52,10022022,Qatar,52,23122072,Ghana,52,10122020,Ghana,52,19122019,Hungary,51,20122018,Ghana
53,10022022,Saudi Arabia,53,23122073,Mali,53,10122020,Greece,53,19122019,Cameroon,53,20122018,Korea Republic
54,10022022,Northern Ireland,54,23122074,Northern Ireland,54,10122020,Finland,54,19122019,Greece,54,20122018,Jamaica
55,10022022,Greece,55,23122075,Greece,55,10122020,Bosnia and Herzegovina,55,19122019,Qatar,55,20122018,Cameroon
56,10022022,Burkina Faso,56,23122076,Côte d'Ivoire,56,10122020,Ecuador,56,19122019,Mali,56,20122018,Egypt
57,10022022,Finland,57,23122077,Jamaica,57,10122020,Mali,56,19122019,Congo DR,57,20122018,Ecuador
58,10022022,Venezuela,58,23122078,Finland,58,10122020,Burkina Faso,58,19122019,Finland,58,20122018,Finland
59,10022022,Bosnia and Herzegovina,59,23122079,Venezuela,58,10122020,Qatar,59,19122019,Bulgaria,59,20122018,Bolivia
60,10022022,Iceland,60,23122080,Burkina Faso,60,10122020,Congo DR,59,19122019,Burkina Faso,60,20122018,Albania
61,10022022,Ghana,61,23122081,Bosnia and Herzegovina,61,10122020,Côte d'Ivoire,61,19122019,Côte d'Ivoire,61,20122018,Burkina Faso
62,10022022,Jamaica,62,23122082,Iceland,62,10122020,Slovenia,62,19122019,Honduras,62,20122018,Slovenia
63,10022022,Panama,63,23122083,Panama,63,10122020,Montenegro,63,19122019,Ecuador,62,20122018,Honduras
64,10022022,Slovenia,64,23122084,Congo DR,64,10122020,Honduras,64,19122019,Montenegro,64,20122018,Mali
65,10022022,Albania,65,23122085,Slovenia,65,10122020,North Macedonia,64,19122019,Slovenia,65,20122018,Côte d'Ivoire
66,10022022,Congo DR,66,23122086,Albania,66,10122020,Albania,66,19122019,Albania,66,20122018,Guinea
67,10022022,North Macedonia,67,23122087,North Macedonia,67,10122020,Saudi Arabia,67,19122019,Saudi Arabia,67,20122018,Algeria
68,10022022,South Africa,68,23122088,South Africa,68,10122020,Bulgaria,68,19122019,North Macedonia,68,20122018,FYR Macedonia
69,10022022,United Arab Emirates,69,23122089,United Arab Emirates,69,10122020,Iraq,69,19122019,El Salvador,69,20122018,Saudi Arabia
70,10022022,El Salvador,70,23122090,El Salvador,70,10122020,El Salvador,70,19122019,Iraq,70,20122018,El Salvador
71,10022022,Bulgaria,71,23122091,Bulgaria,71,10122020,South Africa,71,19122019,South Africa,71,20122018,Panama
72,10022022,Montenegro,72,23122092,Montenegro,72,10122020,Canada,71,19122019,United Arab Emirates,72,20122018,South Africa
73,10022022,Cabo Verde,73,23122093,Cabo Verde,73,10122020,Guinea,73,19122019,Canada,72,20122018,Cape Verde Islands
74,10022022,Iraq,74,23122094,China PR,74,10122020,United Arab Emirates,74,19122019,Guinea,74,20122018,Syria
75,10022022,China PR,75,23122095,Iraq,75,10122020,China PR,75,19122019,Bolivia,75,20122018,Uganda
76,10022022,Bolivia,76,23122096,Honduras,76,10122020,Curaçao,76,19122019,China PR,76,20122018,Belarus
77,10022022,Israel,77,23122097,Bolivia,76,10122020,Syria,77,19122019,Uganda,76,20122018,China PR
78,10022022,Honduras,78,23122098,Israel,78,10122020,Panama,78,19122019,Cabo Verde,78,20122018,Canada
79,10022022,Oman,79,23122099,Oman,79,10122020,Uganda,79,19122019,Syria,79,20122018,United Arab Emirates
80,10022022,Curaçao,80,23122100,Curaçao,79,10122020,Bolivia,80,19122019,Curaçao,80,20122018,Curacao
81,10022022,Guinea,81,23122101,Guinea,81,10122020,Cabo Verde,81,19122019,Panama,81,20122018,Lebanon
82,10022022,Gabon,82,23122102,Uganda,82,10122020,Oman,82,19122019,Oman,82,20122018,Oman
83,10022022,Benin,83,23122103,Benin,83,10122020,Benin,83,19122019,Gabon,83,20122018,Zambia
84,10022022,Uganda,84,23122104,Uzbekistan,84,10122020,Haiti,84,19122019,Benin,84,20122018,Congo
85,10022022,Uzbekistan,85,23122105,Georgia,85,10122020,Uzbekistan,85,19122019,Uzbekistan,85,20122018,Gabon
86,10022022,Georgia,86,23122106,Syria,86,10122020,Gabon,86,19122019,Haiti,86,20122018,Luxembourg
87,10022022,Haiti,87,23122107,Haiti,87,10122020,Israel,87,19122019,Belarus,86,20122018,Cyprus
88,10022022,Zambia,88,23122108,Zambia,88,10122020,Belarus,88,19122019,Zambia,88,20122018,Iraq
89,10022022,Bahrain,89,23122109,Gabon,89,10122020,Georgia,89,19122019,Congo,89,20122018,Georgia
90,10022022,Jordan,90,23122110,Jordan,90,10122020,Zambia,89,19122019,Lebanon,90,20122018,Israel
91,10022022,Syria,91,23122111,Bahrain,91,10122020,Congo,91,19122019,Madagascar,91,20122018,Kyrgyz Republic
92,10022022,Armenia,92,23122112,Armenia,92,10122020,Lebanon,91,19122019,Georgia,92,20122018,Trinidad and Tobago
93,10022022,Luxembourg,93,23122113,Luxembourg,93,10122020,Vietnam,93,19122019,Israel,93,20122018,Qatar
94,10022022,Belarus,94,23122114,Belarus,94,10122020,Madagascar,94,19122019,Vietnam,94,20122018,Benin
95,10022022,Lebanon,95,23122115,Lebanon,95,10122020,Jordan,95,19122019,Cyprus,95,20122018,Uzbekistan
96,10022022,Kyrgyz Republic,96,23122116,Kyrgyz Republic,96,10122020,Kyrgyz Republic,96,19122019,Kyrgyz Republic,96,20122018,Estonia
97,10022022,Congo,97,23122117,Congo,97,10122020,Bahrain,97,19122019,Jordan,97,20122018,India
98,10022022,Vietnam,98,23122118,Vietnam,98,10122020,Luxembourg,98,19122019,Luxembourg,98,20122018,Faroe Islands
99,10022022,Equatorial Guinea,99,23122119,Palestine,99,10122020,Armenia,99,19122019,Bahrain,99,20122018,Palestine
100,10022022,Palestine,100,23122120,Trinidad and Tobago,100,10122020,Cyprus,100,19122019,Mauritania,100,20122018,Vietnam
